Zak;SQM;Vacant
816218608;412,01;1
816218708;411,33;0
816218808;410,48;2
816219308;409,92;0
816219408;403,595;0
816219508;410,01;1
816219608;412,51;1
816290110;1297,405;2
816290210;1292,51;1
816290310;1285,85;2
816290410;1286,75;2
816290510;1289,08;1
816290610;1281,835;0
816290710;1295,72;4
816291210;1301,65;3
816291310;1277,135;3
816291410;1299,09;1
816291510;1313,225;5
816291610;1299,365;1
816291710;1278,42;2
816291810;1285,77;2
816291910;1259,97;1
816292010;1290,865;3
816294010;1820,92;1
816294110;1768,87;0
816294210;1806,98;2
816294910;1768,185;2
816295010;1728,835;1
816295110;1738,985;4
816295210;3844,17;3
816296510;706,205;0
816296610;684,94;1
816296710;689,27;0
816296810;707,675;0
816296910;683,125;1
816297010;683,78;0
816297110;680,33;1
816297210;681,58;0
816297310;681,74;0
816297410;682,44;0
816297510;683,085;1
817028031;1107,685;0
817028131;1360,735;0
817028231;1334,855;1
817040031;443,01;0
817040131;299,21;0
817040231;416,32;0
817040331;273,21;0
817040431;272,05;0
817040531;426,34;0
817040631;259,25;0
817040731;413,63;0
817043131;378,73;0
817043231;277,89;1
817043331;403,89;1
817043431;248,27;0
817043531;386,02;0
817043631;258,725;0
817043731;446,61;0
817043831;284,4;0
817044731;212,22;0
817044831;225,87;0
817045131;352,6;0
817045231;376,05;0
817045331;349,13;0
817045431;353,82;1
817045531;350,78;0
817045631;352,84;0
817045731;354,2;0
817045831;346,78;0
817046031;277,14;0
817046131;301,79;0
817046231;242,36;1
817046331;243,1;0
817046431;293,51;0
817046531;304,86;0
817046831;254,4;0
817046931;303,97;0
817047831;1027,115;0
817047931;1024,685;0
817048131;1025,13;0
817048231;1019,95;0
817048331;315,42;0
817048431;268,46;0
817048631;3936,17;2
817048731;293,43;0
817048831;291,5;0
817048931;300,02;0
817049231;511,94;0
817049331;545,6;0
817049431;508,845;0
817064731;820,055;0
817064831;809,28;1
817064931;804,795;0
817065031;795,365;0
817065131;968,935;0
817065231;811,51;0
817065331;836,66;0
817065431;737,24;0
817065531;736,77;0
817065631;989,255;1
817065731;977,205;0
817065831;720,2;0
817065931;721,995;0
817066031;982,745;1
817066131;724,665;0
817066231;716,48;0
817066331;717,83;0
817066431;2278,43;0
817066531;2299,685;0
817066631;2272,005;1
817122731;536,935;0
817122831;539,745;0
817122931;537,855;0
817123031;1158,345;0
817123131;1014,68;1
817123231;1302,5;0
817123331;1005,555;0
817124431;424,94;0
817124531;514,11;0
817124631;200,11;0
817127531;661,065;0
817127631;681,97;0
817127731;519,66;0
817127831;897,025;1
817127931;667,65;0
817128031;682,1;0
817128131;664,56;1
817128331;283,525;0
817128431;450,855;2
817128531;702,135;0
817128631;446,985;0
817173131;3962,555;0
817176431;1086,315;1
817176531;1004,14;0
817948631;252,05;0
818028432;316,435;0
818028632;230,38;0
818028732;215,875;0
818028832;208,43;0
818039232;510,185;4
818039332;482,945;2
818045432;128,35;0
818051232;134,6;0
818051332;100,77;0
818052532;263,05;0
818054332;105,72;0
818054432;106,68;0
818054532;100,18;0
818054632;99,685;0
818054732;111,185;0
818054832;56,52;0
818054932;105,66;0
818055032;107,93;0
818055132;105,685;0
818055232;106,43;0
818055332;107,73;0
818055432;112,73;0
818055532;113,04;0
818055632;108,5;0
818055732;122,87;0
818055832;109,23;0
818055932;106,96;0
818056032;110,385;0
818056132;115,54;0
818056232;108,44;0
818056332;113,28;0
818056432;110,13;0
818056532;130,61;0
818056632;136,25;0
818056732;120,32;0
818056832;138,13;0
818056932;115,16;0
818057032;118,78;0
818057132;118,12;0
818057232;113,34;0
818057332;113,37;1
818057432;111,82;0
818057532;116,06;0
818057632;111,64;0
818057730;129,5;0
818058032;105,64;0
818058232;105,06;0
818058432;106,71;0
818058532;111,44;0
818058732;102,64;0
818059132;101,84;0
818059432;124,84;1
818059532;99,64;1
818059632;111,64;0
818059932;112,375;0
818060032;111,64;0
818060132;108,64;0
818060232;117,94;0
818060332;110,87;0
818060432;108,64;0
818060532;111,64;1
818060632;108,64;0
818060732;111,64;0
818060832;112,14;0
818060932;108,64;0
818061032;110,1;0
818061132;110,87;0
818061232;107,87;0
818061432;119,64;0
818061532;52,82;0
818061632;111,64;0
818061732;138,14;0
818061832;108,58;0
818061932;110,87;0
818062032;110,1;0
818062132;57,69;0
818062232;110,39;1
818062332;108,64;0
818062432;112,64;0
818062832;111,64;0
818063332;107,49;2
818063532;133,04;0
818064032;109,44;1
818064132;104,02;0
818064432;111,64;1
818064532;112,64;0
818064632;113,59;0
818064732;95,64;0
818064832;110,39;0
818064932;111,64;0
818065232;185,87;0
818065332;208,045;0
818065432;172,42;0
818065532;128,965;0
818065632;179,92;0
818066632;125,14;0
818066732;107,39;0
818067132;109,14;1
818067432;109,62;0
818067532;108,1;0
818067632;139,53;0
818067732;116,92;0
818067832;120,865;0
818067932;103,07;0
818068032;109,34;0
818068132;106,785;0
818068232;130,52;0
818068532;118,89;0
818068632;121,5;0
818068732;132,22;0
818068832;122,81;0
818068932;126,8;0
818069132;143,02;0
818069232;113,32;0
818069332;115,26;0
818069432;110,87;0
818069532;111,64;1
818069632;111,64;0
818069732;108,64;1
818069832;112,64;0
818069932;114,65;0
818070032;110,64;0
818070232;105,78;0
818070332;110,14;0
818070432;107,64;0
818070532;108,65;0
818070632;111,64;0
818070732;111,64;0
818071032;252,05;1
818071932;171,46;1
818073032;132,735;0
818073132;136,64;0
818073232;129,34;0
818073332;129,34;1
818073432;141,54;0
818073532;199,54;0
818073632;190,76;0
818073732;177,51;0
818073832;85,25;0
818073932;172,95;0
818074132;138,16;0
818074430;108,15;0
818074632;160,88;0
818074732;152,48;0
818074832;156,59;0
818074932;163,73;0
818075032;140,38;0
818075132;166,88;0
818075232;168,39;0
818075332;168,23;0
818089030;687,825;16
818089130;627,74;14
818093730;179,475;1
818095832;55,93;0
818095932;76,43;0
818096032;49,53;0
818096132;76,43;0
818096232;55,93;1
818096332;55,93;1
818096432;75,44;0
818096532;78,43;0
818096930;431,83;0
818097030;425,9;0
818097130;438,17;0
818097230;409,19;0
818097330;441,65;0
818097432;79,35;0
818097530;381,56;0
818097830;426,11;0
818098030;417,13;0
818098130;431,48;0
818098230;394,965;0
818098330;407,785;0
818098530;121,36;0
818099030;153,22;0
818099632;297,86;1
818099732;292,99;2
818099832;288,63;0
818100430;434,37;0
818100530;462,8;0
818100630;449,5;0
818100730;432,2;0
818100830;429,4;0
818100930;376,43;0
818101030;417,59;0
818101130;381,5;0
818101230;397,425;0
818101330;429,5;0
818101530;447,5;0
818101630;461,7;0
818101730;456,8;0
818101830;462,35;0
818101930;376,9;0
818102030;428,4;0
818102130;418,07;0
818102230;460,44;0
818102330;451,895;0
818102430;422,975;0
818102530;424,55;0
818102630;390,28;0
818102730;403,035;0
818102830;439,69;0
818102930;433,7;0
818103030;442,12;0
818103130;460,15;0
818103230;384,765;0
818103330;454,345;0
818103430;405,65;0
818103530;438,72;0
818103630;399,5;0
818103730;368,495;0
818103830;409,85;0
818103930;443,7;0
818104030;430,7;0
818121130;796,1;0
818121230;807,22;2
818121330;823,675;0
818121430;786,02;0
818121530;994,825;1
818121630;732,845;1
818121730;737,53;0
818121830;812,843;1
818121930;987,655;1
818122030;958,535;1
818122230;953,52;0
818122330;724,535;0
818122430;736,445;1
818122530;825,46;1
818122830;709,335;1
818122930;803,845;2
818123030;961,95;3
818123130;796,315;0
818123230;824,53;1
818900932;434,32;0
818901032;432,98;1
818901132;455,03;1
818974432;113,37;0
818997532;90,5;0
820012812;374,46;0
820012912;265,7;1
820023213;183,4;0
820031912;189,96;1
820032012;394,455;1
820032112;400,24;0
820032212;350,63;0
820032412;349,795;0
820046113;107,2;0
820047612;360,15;0
820048212;307,8;1
820050512;66,9;0
820057512;128,26;0
820057612;129,37;0
820057712;118,26;0
820057812;135,62;0
820057912;135,62;0
820058012;135,62;0
820058112;135,66;1
820058212;129,37;0
820058312;135,62;0
820058412;135,62;0
820059212;58,02;0
820062513;149,56;1
820073212;100,04;2
820075916;123,55;1
820078112;158,23;0
820078416;37;0
820085212;165,7;0
820100112;131,56;0
820100212;131,56;0
820100312;131,56;0
820100412;123,08;0
820100512;131,56;0
820100612;100,54;0
820100712;105,44;0
820100812;105,44;0
820100912;105,44;0
820101012;105,44;0
820101312;105,44;0
820101412;105,44;0
820101512;105,44;0
820101612;100,54;0
820101712;105,44;0
820101812;105,44;0
820101912;111,04;1
820102012;105,44;0
820102112;105,44;0
820102212;105,44;0
820102312;105,44;0
820102412;105,44;0
820102512;105,44;0
820102612;105,44;0
820102712;105,44;0
820102812;105,44;0
820102912;105,74;0
820103012;105,44;0
820103112;105,44;0
820103212;100,84;0
820103312;105,44;0
820103412;105,44;0
820103512;105,44;0
820103612;100,54;0
820103712;105,44;0
820103812;105,44;0
820103912;105,44;0
820104012;105,44;0
820104112;105,44;0
820104212;105,44;0
820104312;105,44;0
820104412;105,44;0
820104612;105,44;0
820105812;104,62;0
820106012;105,44;0
820106112;105,44;0
820106212;105,44;0
820106312;104,84;0
820106412;105,44;0
820106512;105,44;0
820106612;113,92;0
820106712;105,44;0
820106812;105,44;0
820106912;47,82;0
820107012;105,44;0
820107112;105,44;0
820107212;98,46;1
820107312;105,44;0
820107912;131,56;0
820108012;131,56;0
820108112;131,56;0
820108212;131,56;0
820108312;131,56;0
820108412;131,56;0
820108512;131,56;0
820108612;131,56;0
820108712;131,56;0
820108812;123,08;0
820109012;132,68;0
820109112;131,56;0
820109212;131,56;0
820109312;123,08;0
820145113;116,11;0
820155813;505,67;1
820155913;367,42;0
820156013;505,52;0
820164913;186,4;0
820904013;304,77;0
820963412;47,2;0
820984013;380,77;0
820984113;392,98;0
821042712;116,55;1
821044911;124,59;0
821045011;146,34;2
821057212;231,14;0
821057312;267,7;0
821057412;318,6;0
821057512;235,8;0
821057612;248,28;0
821057712;268,3;0
821057812;264,8;0
821057912;265,1;0
821058012;279,84;0
821058112;268,37;0
821058212;211,5;1
821058312;252,76;0
821062512;253,26;0
821062612;257,76;0
821062712;282,1;0
821062912;347,3;0
821063012;351,95;0
821063112;348,9;0
821063212;336,1;1
821063312;273,63;0
821063412;301,07;1
821063512;259,46;0
821063612;286,23;0
821074511;161,3;2
821075011;93,06;1
821075711;137,43;1
821075811;84,58;0
821077912;399,4;2
821078012;414,74;1
821083113;3581,08;1
821084215;3418,02;2
821084315;3430,315;2
821084415;1326,425;1
821084515;1346,72;0
821084615;1351,905;0
821084715;1348,315;1
821084815;1339,16;0
821086013;1311,89;0
821086513;1309,45;1
821086813;563,23;0
821086913;457,985;0
821087013;652,255;2
821087113;1393,745;0
821087313;1450,97;0
821090315;3899,045;1
821090415;3917,29;3
821092411;103,32;0
821093015;1705,12;1
821093215;1694,68;2
821093315;1691,195;0
821093915;2242,79;2
821100211;102,9;1
821103913;1947,005;0
821104013;1566,495;2
821104113;1566,695;1
821104213;1389,695;0
821104313;1382,865;1
821104413;1578,565;0
821104513;1564,6;0
821104613;1568,44;1
821105211;102,9;1
821108511;102,9;1
821109211;102,9;1
821109311;102,9;0
821109411;102,9;1
821109611;102,9;0
821109711;102,9;1
821109811;102,9;0
821109911;98;0
821110011;100,45;1
821110611;99,53;0
821110811;102,9;1
821111011;102,9;0
821111111;100,45;0
821111311;102,9;1
821111511;102,9;0
821111611;113,175;0
821111811;102,9;0
821111911;102,9;1
821112511;131,56;1
821113211;115,08;0
821115013;187,62;0
821904411;102,9;0
821904511;102,9;0
822001614;171,74;0
822010413;267,435;1
822013513;135,115;0
822015914;519,805;0
822016414;250,13;2
822018913;222,875;2
822019013;208,725;1
822019113;225,84;0
822019313;209,955;1
822019413;222,3;0
822021113;227,715;0
822021213;168,1;0
822021313;187,075;0
822021413;203,335;0
822021913;213,515;0
822022013;204,735;0
822024014;128,55;1
822024414;80,17;2
822027014;278,53;0
822027714;176;1
822028614;140,78;0
822029214;373,21;0
822029414;299,43;0
822029814;204,15;2
822030914;277,33;0
822031014;321,45;0
822031214;401,365;0
822031414;335,67;0
